,assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_link,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
192,0.10,0.69,74.4,3.4,28.1%,1.19,67.7%,1.03,0.72,10,25,Malaysia,15927,https://www.hltv.org/stats/players/15927/felix,felix,1.07,248,0.09,0.06,172,178
193,0.13,0.69,66.4,5.2,40.2%,0.97,62.6%,0.78,0.54,7,-,Denmark,8863,https://www.hltv.org/stats/players/8863/oddo,oddo,0.83,188,0.08,0.10,130,102
194,0.04,0.84,61.5,0.9,62.1%,0.87,55.6%,0.76,0.64,2,-,Hong Kong,11678,https://www.hltv.org/stats/players/11678/anger,ANGER,0.75,45,0.09,0.04,38,29
195,0.14,0.74,70.7,4.0,50.6%,0.88,71.5%,0.85,0.63,5,-,Brazil,17501,https://www.hltv.org/stats/players/17501/brutao,brutAo,0.96,123,0.09,0.07,91,77
196,0.17,0.78,87.3,4.4,51.0%,1.18,70.4%,0.99,0.77,8,32,Switzerland,20842,https://www.hltv.org/stats/players/20842/rulon,ruloN,1.11,199,0.14,0.08,155,153
197,0.14,0.71,74.4,3.4,46.8%,1.03,68.3%,0.95,0.68,386,23,Hungary,8733,https://www.hltv.org/stats/players/8733/bodito,bodito,0.96,10354,0.10,0.11,7352,7016
198,0.15,0.70,75.6,5.6,50.7%,1.00,71.9%,0.98,0.68,77,23,Brazil,19290,https://www.hltv.org/stats/players/19290/voltera,voltera,1.04,2065,0.09,0.12,1441,1405
199,0.14,0.70,75.2,3.1,59.8%,1.00,70.9%,0.97,0.69,68,25,Israel,13624,https://www.hltv.org/stats/players/13624/hydra,hydra,1.04,1756,0.10,0.13,1235,1204
200,0.25,0.83,78.5,4.2,26.8%,0.92,59.7%,0.68,0.57,3,-,Brazil,14430,https://www.hltv.org/stats/players/14430/sakura,Sakura,0.85,72,0.17,0.06,60,41
201,0.10,0.84,50.3,1.6,54.1%,0.53,55.7%,0.50,0.42,4,-,Argentina,2158,https://www.hltv.org/stats/players/2158/sebaxinho,Sebaxinho,0.60,88,0.10,0.07,74,37
202,0.14,0.69,85.4,3.9,45.8%,1.28,69.3%,1.12,0.78,33,23,Japan,15152,https://www.hltv.org/stats/players/15152/marin,Marin,1.17,864,0.11,0.08,598,672
203,0.09,0.77,66.4,1.9,48.6%,0.48,62.1%,0.73,0.56,3,-,Azerbaijan,15807,https://www.hltv.org/stats/players/15807/termi,termi,0.73,66,0.11,0.08,51,37
204,0.14,0.79,67.8,4.4,51.1%,0.81,61.9%,0.77,0.61,6,19,Belarus,19297,https://www.hltv.org/stats/players/19297/brilliance,Brilliance,0.83,155,0.11,0.09,122,94
205,0.14,0.69,78.2,2.6,49.2%,1.05,70.2%,1.03,0.71,127,21,Indonesia,10262,https://www.hltv.org/stats/players/10262/mindfreak,mindfreak,1.02,3271,0.11,0.10,2259,2329
